symbol,organ_name,icb_name,exchange
CCC,Công ty Cổ Phần Xây Dựng CDC,Công nghiệp,UPCOM
TAB,Công ty Cổ phần Freco Việt Nam,Công nghiệp,UPCOM
HIO,Công ty Cổ Phần Helio Energy,Tiện ích Cộng đồng,UPCOM
TSA,Công ty Cổ Phần Đầu Tư Và Xây Lắp Trường Sơn,Công nghiệp,UPCOM
CST,Công ty Cổ phần Than Cao Sơn - TKV,Nguyên vật liệu,UPCOM
SGI,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group,Hàng Tiêu dùng,UPCOM
TOS,Công ty Cổ phần Dịch vụ biển Tân Cảng,Dầu khí,UPCOM
DSD,Công ty cổ phần DHC Suối Đôi,Dịch vụ Tiêu dùng,UPCOM
D17,Công ty Cổ Phần Đồng Tân,Nguyên vật liệu,UPCOM
BBM,Công ty Cổ phần Bia Hà Nội - Nam Định,Hàng Tiêu dùng,UPCOM
AAH,Công ty Cổ phần Hợp Nhất,Nguyên vật liệu,UPCOM
KLB,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng,UPCOM
HLO,Công Ty Cổ Phần Công Nghệ Ha Lô,Công nghiệp,UPCOM
MPC,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,Hàng Tiêu dùng,UPCOM
CKA,Công ty Cổ phần Cơ khí An Giang,Công nghiệp,UPCOM
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Hàng Tiêu dùng,HOSE
BCV,Công ty cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Dịch vụ Tiêu dùng,UPCOM
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Dịch vụ Tiêu dùng,HNX
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược phẩm và Y tế,HNX
ALV,Công ty Cổ phần Xây dựng ALVICO,Công nghiệp,UPCOM
ATS,Công ty Cổ phần Tập đoàn Đầu tư ATS,Dịch vụ Tiêu dùng,HNX
BAL,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Công nghiệp,UPCOM
OCH,Công ty Cổ phần One Capital Hospitality,Hàng Tiêu dùng,HNX
LM8,Công ty Cổ phần Lilama 18,Công nghiệp,HOSE
VLB,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,Công nghiệp,UPCOM
AMC,Công ty Cổ phần Khoáng sản Á Châu,Nguyên vật liệu,HNX
BCB,Công ty Cổ phần 397,Nguyên vật liệu,UPCOM
PEQ,Công ty Cổ phần Thiết bị xăng dầu Petrolimex,Dầu khí,UPCOM
BOT,Công ty Cổ phần BOT Cầu Thái Hà,Công nghiệp,UPCOM
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Hàng Tiêu dùng,HOSE
ABW,Công ty Cổ phần Chứng khoán An Bình,Tài chính,UPCOM
BMN,Công ty Cổ phần 715,Công nghiệp,UPCOM
BNW,Công ty Cổ phần Nước sạch Bắc Ninh,Tiện ích Cộng đồng,UPCOM
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,HOSE
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,VN30
PLP,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,Nguyên vật liệu,HOSE
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Tài chính,UPCOM
BRS,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Công nghiệp,UPCOM
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,VN30
BST,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Dịch vụ Tiêu dùng,HNX
BTW,Công ty Cổ phần Cấp nước Bến Thành,Tiện ích Cộng đồng,HNX
HNB,Công ty Cổ phần Bến xe Hà Nội,Công nghiệp,UPCOM
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Công nghiệp,HOSE
AME,Công ty cổ phần Alphanam E&C,Công nghiệp,HNX
BVG,Công ty cổ phần Group Bắc Việt,Nguyên vật liệu,UPCOM
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,Công nghiệp,HNX
BVH,Tập đoàn Bảo Việt,Tài chính,HOSE
BVH,Tập đoàn Bảo Việt,Tài chính,VN30
C21,Công ty Cổ phần Thế kỷ 21,Tài chính,UPCOM
PND,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,Tiện ích Cộng đồng,UPCOM
CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông,Công nghệ Thông tin,UPCOM
CMW,Công ty Cổ phần Cấp nước Cà Mau,Tiện ích Cộng đồng,UPCOM
CSC,Công ty Cổ phần Tập đoàn COTANA,Công nghiệp,HNX
CBS,Công ty Cổ phần Mía đường Cao Bằng,Hàng Tiêu dùng,UPCOM
CVN,Công ty Cổ phần Vinam,Dược phẩm và Y tế,HNX
CDC,Công ty Cổ phần Chương Dương,Công nghiệp,HOSE
CMK,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Công nghiệp,UPCOM
BDB,Công ty Cổ phần Sách và Thiết bị Bình Định,Dịch vụ Tiêu dùng,HNX
CMF,Công ty Cổ phần Thực phẩm Cholimex,Hàng Tiêu dùng,UPCOM
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,Công nghiệp,UPCOM
TS3,Công ty Cổ phần Trường Sơn 532,Công nghiệp,UPCOM
CEN,Công ty Cổ phần CENCON Việt Nam,Dịch vụ Tiêu dùng,UPCOM
CMX,Công ty Cổ phần CAMIMEX Group,Hàng Tiêu dùng,HOSE
POM,Công ty Cổ phần Thép Pomina,Nguyên vật liệu,UPCOM
DCR,Công ty Cổ phần Gạch men COSEVCO,Công nghiệp,UPCOM
CE1,Công ty Cổ phần Xây dựng và Thiết bị Công nghiệp CIE1,Công nghiệp,UPCOM
C4G,Công ty Cổ phần Tập Đoàn Cienco4,Công nghiệp,UPCOM
DND,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Công nghiệp,UPCOM
BHI,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Tài chính,UPCOM
DWS,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,Tiện ích Cộng đồng,UPCOM
ACG,Công ty Cổ phần Gỗ An Cường,Nguyên vật liệu,HOSE
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Dịch vụ Tiêu dùng,HNX
CJC,Công ty Cổ phần Cơ điện Miền Trung,Công nghiệp,HNX
CK8,Công ty Cổ phần Cơ khí 120,Tài chính,UPCOM
CKD,Công ty Cổ phần Cơ khí Đông Anh Licogi,Công nghiệp,UPCOM
D11,Công ty Cổ phần Địa ốc 11,Tài chính,HNX
DNE,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Công nghiệp,UPCOM
CKV,Công ty Cổ phần CokyVina,Công nghệ Thông tin,HNX
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Tiện ích Cộng đồng,HOSE
BDG,Công ty Cổ phần May mặc Bình Dương,Hàng Tiêu dùng,UPCOM
CAT,Công ty Cổ phần Thủy sản Cà Mau,Hàng Tiêu dùng,UPCOM
CNG,Công ty Cổ phần CNG Việt Nam,Tiện ích Cộng đồng,HOSE
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,UPCOM
PXL,Công ty Cổ phần Đầu tư Khu Công Nghiệp Dầu khí Long Sơn,Tài chính,UPCOM
CLL,Công ty Cổ phần Cảng Cát Lái,Công nghiệp,HOSE
DHN,Công ty Cổ phần Dược phẩm Hà Nội,Dược phẩm và Y tế,UPCOM
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE
CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,Công nghiệp,UPCOM
CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Công nghiệp,HNX
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Nguyên vật liệu,UPCOM
CMS,Công ty Cổ phần Tập đoàn CMH Việt Nam,Công nghiệp,HNX
PXT,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,Công nghiệp,UPCOM
SGP,Công ty Cổ phần Cảng Sài Gòn,Công nghiệp,UPCOM
CPA,Công ty Cổ phần Cà phê Phước An,Hàng Tiêu dùng,UPCOM
DS3,Công ty Cổ phần DS3,Công nghiệp,HNX
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCOM
HTN,Công ty Cổ phần Hưng Thịnh Incons,Tài chính,HOSE
BEL,Công ty Cổ phần Điện tử Biên Hòa,Hàng Tiêu dùng,UPCOM
HNF,Công ty Cổ phần Thực phẩm Hữu Nghị,Hàng Tiêu dùng,UPCOM
SDN,Công ty Cổ phần Sơn Đồng Nai,Công nghiệp,HNX
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Tài chính,HOSE
MTX,Công ty Cổ phần Công trình Đô thị Gò Công,Công nghiệp,UPCOM
HC1,Công ty Cổ phần Xây dựng số 1 Hà Nội,Công nghiệp,UPCOM
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Công nghiệp,HOSE
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Tài chính,HOSE
NBT,Công ty Cổ phần Cấp thoát nước Bến Tre,Tiện ích Cộng đồng,UPCOM
